State,County,Operational,Shutdown,Potential
AK,Aleutians West,0,0,1
AK,Anchorage,1,0,1
AK,Fairbanks North Star,0,0,1
AK,Juneau,0,0,1
AK,Kenai Peninsula,0,0,1
AK,Kodiak Island,0,0,1
AK,Matanuska-Susitna,0,0,1
AL,Baldwin,1,0,0
AL,Blount,0,0,1
AL,Calhoun,0,0,1
AL,Cherokee,1,0,0
AL,Chilton,0,0,1
AL,Coffee,0,0,1
AL,Colbert,0,0,1
AL,Cullman,0,0,1
AL,DeKalb,1,0,0
AL,Escambia,0,0,1
AL,Houston,0,0,1
AL,Jackson,0,1,1
AL,Jefferson,0,1,1
AL,Lauderdale,0,1,1
AL,Lawrence,0,0,1
AL,Lee,0,0,1
AL,Limestone,0,0,1
AL,Madison,0,1,1
AL,Marshall,0,0,1
AL,Mobile,0,1,1
AL,Monroe,0,0,1
AL,Montgomery,0,1,1
AL,Morgan,1,1,0
AL,Perry,0,0,1
AL,Pike,0,0,1
AL,Shelby,0,0,1
AL,St. Clair,1,1,1
AL,Tallapoosa,0,0,1
AL,Tuscaloosa,0,0,1
AL,Walker,0,0,1
AL,Washington,0,0,1
AL,Winston,0,0,1
AR,Arkansas,0,0,1
AR,Ashley,0,0,1
AR,Baxter,0,0,1
AR,Conway,0,0,1
AR,Craighead,0,0,1
AR,Crittenden,0,0,1
AR,Faulkner,0,0,1
AR,Fulton,0,0,1
AR,Greene,0,0,1
AR,Hempstead,0,0,1
AR,Howard,0,0,1
AR,Jackson,0,0,1
AR,Jefferson,0,0,1
AR,Mississippi,0,0,1
AR,Phillips,0,0,1
AR,Prairie,0,0,1
AR,Pulaski,1,1,1
AR,Saline,0,0,1
AR,Sebastian,1,1,0
AR,Union,0,0,1
AR,Washington,1,0,0
AR,Yell,0,0,1
AZ,Apache,0,0,1
AZ,Cochise,0,0,1
AZ,Coconino,0,0,1
AZ,La Paz,0,0,1
AZ,Maricopa,1,1,1
AZ,Mohave,0,0,1
AZ,Navajo,0,0,1
AZ,Pima,0,1,1
AZ,Pinal,0,0,1
AZ,Santa Cruz,0,0,1
AZ,Yavapai,0,0,1
AZ,Yuma,0,0,1
CA,Alameda,1,1,1
CA,Amador,0,0,1
CA,Butte,1,1,0
CA,Calaveras,0,0,1
CA,Colusa,0,0,1
CA,Contra Costa,1,1,1
CA,Del Norte,0,0,1
CA,El Dorado,1,0,0
CA,Fresno,1,1,1
CA,Glenn,0,0,1
CA,Humboldt,0,0,1
CA,Imperial,0,0,1
CA,Inyo,0,0,1
CA,Kern,0,1,1
CA,Kings,0,0,1
CA,Lake,0,0,1
CA,Lassen,0,0,1
CA,Los Angeles,1,1,1
CA,Madera,0,0,1
CA,Marin,1,1,1
CA,Mariposa,0,0,1
CA,Mendocino,0,0,1
CA,Merced,0,0,1
CA,Modoc,0,0,1
CA,Mono,0,0,1
CA,Monterey,1,1,1
CA,Napa,1,1,1
CA,Nevada,0,0,1
CA,Orange,1,1,1
CA,Placer,1,0,1
CA,Plumas,0,0,1
CA,Riverside,1,1,1
CA,Sacramento,1,1,1
CA,San Benito,0,0,1
CA,San Bernardino,0,1,1
CA,San Diego,1,1,1
CA,San Joaquin,1,1,1
CA,San Luis Obispo,1,0,1
CA,San Mateo,1,1,1
CA,Santa Barbara,1,1,1
CA,Santa Clara,1,1,1
CA,Santa Cruz,1,1,1
CA,Shasta,0,0,1
CA,Sierra,0,0,1
CA,Siskiyou,0,0,1
CA,Solano,1,0,1
CA,Sonoma,1,1,1
CA,Stanislaus,0,0,1
CA,Tehama,0,0,1
CA,Trinity,0,0,1
CA,Tulare,0,1,1
CA,Tuolumne,0,0,1
CA,Ventura,0,1,1
CA,Yolo,1,0,0
CA,Yuba,1,0,1
CO,Adams,0,1,1
CO,Arapahoe,1,0,0
CO,Archuleta,0,0,1
CO,Boulder,0,0,1
CO,Douglas,0,1,0
CO,Eagle,0,0,1
CO,El Paso,0,0,1
CO,Fremont,0,0,1
CO,Garfield,0,0,1
CO,Jefferson,0,0,1
CO,La Plata,0,0,1
CO,Larimer,0,0,1
CO,Mesa,0,0,1
CO,Montrose,0,0,1
CO,Morgan,0,0,1
CO,Pitkin,0,0,1
CO,Pueblo,0,1,1
CO,Routt,0,0,1
CO,Summit,0,0,1
CO,Weld,1,1,1
CT,Fairfield,0,1,1
CT,Hartford,1,1,1
CT,Litchfield,1,1,1
CT,Middlesex,0,0,1
CT,New Haven,0,0,1
CT,New London,0,1,1
CT,Tolland,0,0,1
CT,Windham,0,0,1
DE,Kent,1,0,0
DE,New Castle,1,1,0
DE,Sussex,1,0,0
FL,Alachua,0,1,0
FL,Bay,0,0,1
FL,Brevard,1,1,0
FL,Broward,1,1,1
FL,Charlotte,1,0,0
FL,Citrus,0,0,1
FL,Clay,0,0,1
FL,Collier,1,1,0
FL,Columbia,0,0,1
FL,Duval,1,1,1
FL,Escambia,1,1,0
FL,Hendry,0,0,1
FL,Hernando,1,0,1
FL,Highlands,1,0,1
FL,Hillsborough,1,1,0
FL,Indian River,1,1,1
FL,Jackson,1,0,0
FL,Lake,0,0,1
FL,Lee,0,0,1
FL,Leon,0,0,1
FL,Madison,0,0,1
FL,Manatee,1,0,0
FL,Marion,1,1,0
FL,Martin,0,0,1
FL,Miami-Dade,0,1,1
FL,Monroe,0,0,1
FL,Nassau,0,0,1
FL,Okaloosa,0,0,1
FL,Okeechobee,0,1,1
FL,Orange,1,1,1
FL,Osceola,1,0,1
FL,Palm Beach,1,0,1
FL,Pasco,0,0,1
FL,Pinellas,0,0,1
FL,Polk,0,1,1
FL,Putnam,0,0,1
FL,Santa Rosa,0,0,1
FL,Sarasota,1,0,1
FL,Seminole,1,1,0
FL,St. Johns,0,0,1
FL,St. Lucie,1,1,0
FL,Sumter,0,0,1
FL,Taylor,0,0,1
FL,Union,1,0,0
FL,Volusia,0,1,1
GA,Atkinson,0,0,1
GA,Banks,0,0,1
GA,Barrow,1,1,0
GA,Bartow,0,0,1
GA,Bibb,1,1,1
GA,Butts,1,0,0
GA,Camden,0,0,1
GA,Carroll,0,0,1
GA,Catoosa,1,0,0
GA,Charlton,0,0,1
GA,Chatham,1,0,1
GA,Chattahoochee,0,1,0
GA,Cherokee,0,1,1
GA,Clarke,1,0,0
GA,Clayton,1,1,0
GA,Columbia,0,0,1
GA,Coweta,0,0,1
GA,Crisp,0,0,1
GA,DeKalb,1,1,1
GA,Decatur,0,0,1
GA,Dougherty,1,0,0
GA,Fayette,0,1,0
GA,Floyd,0,0,1
GA,Forsyth,0,0,1
GA,Fulton,0,1,1
GA,Gordon,0,0,1
GA,Gwinnett,1,1,1
GA,Habersham,0,0,1
GA,Hall,0,0,1
GA,Heard,0,0,1
GA,Houston,1,0,0
GA,Jefferson,0,0,1
GA,Lamar,0,0,1
GA,Laurens,0,0,1
GA,Liberty,0,0,1
GA,Lowndes,1,0,0
GA,Meriwether,0,0,1
GA,Monroe,0,0,1
GA,Murray,0,0,1
GA,Muscogee,0,0,1
GA,Oglethorpe,0,0,1
GA,Paulding,0,0,1
GA,Polk,0,0,1
GA,Richmond,1,0,0
GA,Taylor,1,1,0
GA,Thomas,0,0,1
GA,Tift,0,0,1
GA,Toombs,0,0,1
GA,Troup,0,1,1
GA,Twiggs,1,0,0
GA,Walker,0,0,1
GA,Wayne,0,0,1
GA,Whitfield,1,1,0
HI,Hawaii,0,0,1
HI,Honolulu,0,1,1
HI,Kauai,0,0,1
HI,Maui,0,0,1
IA,Benton,0,0,1
IA,Black Hawk,0,0,1
IA,Boone,0,0,1
IA,Carroll,0,0,1
IA,Cass,0,0,1
IA,Cerro Gordo,0,0,1
IA,Cherokee,0,0,1
IA,Clinton,0,0,1
IA,Dallas,0,0,1
IA,Decatur,0,0,1
IA,Des Moines,1,0,0
IA,Dickinson,0,0,1
IA,Dubuque,1,0,0
IA,Fayette,0,0,1
IA,Fremont,0,0,1
IA,Hardin,0,0,1
IA,Harrison,0,0,1
IA,Iowa,0,0,1
IA,Jasper,0,0,1
IA,Johnson,0,0,1
IA,Keokuk,0,0,1
IA,Lee,0,0,1
IA,Linn,1,1,0
IA,Madison,0,0,1
IA,Mahaska,0,0,1
IA,Marion,0,0,1
IA,Marshall,0,0,1
IA,Mills,0,0,1
IA,Mitchell,0,0,1
IA,Montgomery,0,0,1
IA,Muscatine,0,0,1
IA,Page,0,0,1
IA,Palo Alto,0,0,1
IA,Polk,1,0,0
IA,Pottawattamie,0,0,1
IA,Poweshiek,0,0,1
IA,Sac,0,0,1
IA,Scott,0,1,1
IA,Sioux,0,0,1
IA,Tama,0,0,1
IA,Van Buren,0,0,1
IA,Wapello,0,0,1
IA,Webster,0,0,1
IA,Winnebago,1,1,0
IA,Winneshiek,0,0,1
IA,Woodbury,0,0,1
ID,Ada,1,0,1
ID,Adams,0,0,1
ID,Bannock,1,0,0
ID,Bear Lake,0,0,1
ID,Bingham,0,0,1
ID,Boise,0,0,1
ID,Bonneville,0,0,1
ID,Boundary,0,0,1
ID,Butte,0,0,1
ID,Canyon,0,0,1
ID,Cassia,1,0,1
ID,Clearwater,0,0,1
ID,Elmore,0,0,1
ID,Franklin,0,0,1
ID,Fremont,0,0,1
ID,Jefferson,0,0,1
ID,Kootenai,1,1,0
ID,Latah,0,0,1
ID,Lemhi,0,0,1
ID,Oneida,0,0,1
ID,Payette,0,0,1
ID,Teton,0,0,1
ID,Twin Falls,0,0,1
IL,Adams,0,0,1
IL,Bond,0,0,1
IL,Champaign,0,0,1
IL,Christian,1,0,0
IL,Coles,0,0,1
IL,Cook,1,1,1
IL,De Witt,1,0,0
IL,DeKalb,0,0,1
IL,Douglas,0,0,1
IL,DuPage,1,1,0
IL,Effingham,0,0,1
IL,Fulton,0,0,1
IL,Greene,0,0,1
IL,Grundy,0,1,0
IL,Henry,0,0,1
IL,Iroquois,0,0,1
IL,Jackson,0,0,1
IL,Jersey,0,0,1
IL,Kane,1,1,0
IL,Kankakee,0,1,0
IL,Knox,0,0,1
IL,LaSalle,0,0,1
IL,Lake,1,1,1
IL,Lawrence,0,0,1
IL,Lee,0,1,1
IL,Livingston,1,1,0
IL,Macon,0,1,1
IL,Madison,0,1,1
IL,Marion,0,0,1
IL,McDonough,0,0,1
IL,McLean,1,0,1
IL,Mercer,0,0,1
IL,Montgomery,0,0,1
IL,Ogle,1,1,1
IL,Peoria,0,1,1
IL,Perry,0,0,1
IL,Pike,0,0,1
IL,Richland,0,0,1
IL,Rock Island,0,1,1
IL,Saline,0,0,1
IL,Sangamon,0,1,1
IL,St. Clair,1,1,1
IL,Stephenson,0,0,1
IL,Tazewell,1,0,1
IL,Vermilion,0,1,1
IL,Wayne,0,0,1
IL,Whiteside,0,0,1
IL,Will,1,1,1
IL,Williamson,0,0,1
IL,Winnebago,1,1,0
IN,Adams,0,0,1
IN,Allen,1,1,1
IN,Bartholomew,0,0,1
IN,Blackford,0,0,1
IN,Boone,0,0,1
IN,Brown,0,0,1
IN,Cass,1,1,0
IN,Clark,0,1,1
IN,Clay,0,0,1
IN,Clinton,0,0,1
IN,Daviess,0,0,1
IN,DeKalb,0,0,1
IN,Dearborn,0,0,1
IN,Decatur,0,0,1
IN,Dubois,0,0,1
IN,Elkhart,1,1,0
IN,Fountain,0,0,1
IN,Fulton,1,0,0
IN,Gibson,0,0,1
IN,Greene,0,0,1
IN,Hendricks,1,0,0
IN,Henry,0,0,1
IN,Howard,0,0,1
IN,Huntington,0,0,1
IN,Jackson,1,0,1
IN,Jay,1,1,0
IN,Jennings,0,0,1
IN,Knox,0,0,1
IN,Kosciusko,0,0,1
IN,LaGrange,0,0,1
IN,LaPorte,1,1,0
IN,Lake,1,1,1
IN,Lawrence,0,0,1
IN,Madison,0,0,1
IN,Marion,1,1,1
IN,Martin,0,0,1
IN,Miami,0,0,1
IN,Newton,1,0,0
IN,Noble,0,0,1
IN,Owen,0,0,1
IN,Pike,1,0,1
IN,Posey,0,0,1
IN,Randolph,1,1,0
IN,Ripley,0,0,1
IN,Shelby,0,0,1
IN,Spencer,0,0,1
IN,St. Joseph,1,0,1
IN,Tipton,0,0,1
IN,Vanderburgh,1,1,0
IN,Vermillion,0,0,1
IN,Vigo,1,0,1
IN,Wabash,0,0,1
IN,Warrick,0,0,1
IN,Washington,0,0,1
IN,Wayne,0,0,1
IN,Wells,0,0,1
IN,White,1,1,0
IN,Whitley,0,0,1
KS,Allen,1,0,0
KS,Barber,0,0,1
KS,Barton,0,0,1
KS,Butler,0,0,1
KS,Cherokee,0,0,1
KS,Cheyenne,0,0,1
KS,Clark,0,0,1
KS,Clay,0,0,1
KS,Coffey,0,0,1
KS,Cowley,0,0,1
KS,Crawford,1,0,1
KS,Decatur,0,0,1
KS,Finney,0,0,1
KS,Ford,0,0,1
KS,Gove,0,0,1
KS,Graham,0,0,1
KS,Greeley,0,0,1
KS,Hamilton,0,0,1
KS,Harper,0,0,1
KS,Harvey,0,0,1
KS,Haskell,0,0,1
KS,Hodgeman,0,0,1
KS,Jefferson,1,0,0
KS,Johnson,1,0,1
KS,Kearny,0,0,1
KS,Kiowa,0,0,1
KS,Logan,0,0,1
KS,Marion,0,0,1
KS,McPherson,0,0,1
KS,Mitchell,0,0,1
KS,Montgomery,0,0,1
KS,Morton,0,0,1
KS,Neosho,0,0,1
KS,Ness,0,0,1
KS,Osborne,0,0,1
KS,Phillips,0,0,1
KS,Pratt,0,0,1
KS,Rawlins,0,0,1
KS,Reno,0,0,1
KS,Rooks,0,0,1
KS,Rush,0,0,1
KS,Russell,0,0,1
KS,Saline,0,0,1
KS,Sedgwick,0,1,0
KS,Seward,1,0,0
KS,Shawnee,1,0,0
KS,Sherman,0,0,1
KS,Smith,0,0,1
KS,Stanton,0,0,1
KS,Stevens,0,0,1
KS,Thomas,0,0,1
KS,Trego,0,0,1
KS,Wallace,0,0,1
KS,Wichita,0,0,1
KS,Wyandotte,0,0,1
KY,Barren,1,0,0
KY,Boone,1,0,0
KY,Boyd,1,0,1
KY,Butler,0,0,1
KY,Christian,0,0,1
KY,Daviess,0,0,1
KY,Estill,1,0,0
KY,Fayette,0,0,1
KY,Floyd,0,0,1
KY,Franklin,1,0,0
KY,Grant,0,0,1
KY,Graves,0,0,1
KY,Greenup,1,0,0
KY,Hardin,1,0,0
KY,Hopkins,0,0,1
KY,Jefferson,1,1,0
KY,Laurel,1,0,1
KY,Lincoln,0,0,1
KY,Logan,0,0,1
KY,Madison,0,0,1
KY,Marshall,0,0,1
KY,Mason,0,1,0
KY,McCracken,0,0,1
KY,Montgomery,1,0,0
KY,Nelson,0,0,1
KY,Ohio,0,0,1
KY,Pendleton,1,0,0
KY,Perry,0,0,1
KY,Pike,0,0,1
KY,Pulaski,0,0,1
KY,Rowan,1,0,0
KY,Scott,1,0,0
KY,Spencer,0,0,1
KY,Trimble,0,0,1
KY,Union,0,0,1
KY,Whitley,0,0,1
LA,Acadia,0,0,1
LA,Allen,1,0,0
LA,Ascension,0,0,1
LA,Caddo,1,1,0
LA,Calcasieu,0,0,1
LA,De Soto,0,0,1
LA,East Baton Rouge,1,1,0
LA,Jefferson,1,1,1
LA,Jefferson Davis,1,0,0
LA,La Salle,0,0,1
LA,Lafayette,0,0,1
LA,Lincoln,0,0,1
LA,Livingston,0,0,1
LA,Orleans,0,0,1
LA,Ouachita,1,0,1
LA,Plaquemines,0,0,1
LA,Pointe Coupee,0,0,1
LA,Sabine,0,0,1
LA,St. James,0,0,1
LA,St. Landry,1,0,0
LA,St. Mary,0,0,1
LA,St. Tammany,0,0,1
LA,Tangipahoa,0,0,1
LA,Tensas,0,0,1
LA,Terrebonne,0,0,1
LA,Union,0,0,1
LA,Vermilion,0,0,1
LA,Washington,0,0,1
LA,Webster,0,0,1
LA,West Carroll,0,0,1
MA,Barnstable,0,0,1
MA,Bristol,1,1,1
MA,Essex,0,1,1
MA,Hampden,1,1,1
MA,Hampshire,1,1,1
MA,Middlesex,0,1,1
MA,Nantucket,0,0,1
MA,Norfolk,1,1,0
MA,Plymouth,0,1,1
MA,Suffolk,0,0,1
MA,Worcester,1,1,1
MD,Allegany,0,0,1
MD,Anne Arundel,1,0,1
MD,Baltimore,1,1,1
MD,Baltimore City,1,1,1
MD,Calvert,0,0,1
MD,Caroline,0,0,1
MD,Carroll,0,0,1
MD,Cecil,0,0,1
MD,Charles,0,0,1
MD,Dorchester,0,0,1
MD,Frederick,0,1,1
MD,Garrett,0,0,1
MD,Harford,0,0,1
MD,Howard,1,0,1
MD,Kent,0,0,1
MD,Montgomery,0,1,0
MD,Prince George's,1,1,0
MD,Queen Anne's,0,0,1
MD,Somerset,0,0,1
MD,St. Mary's,0,0,1
MD,Talbot,1,0,0
MD,Washington,0,0,1
MD,Wicomico,1,0,0
MD,Worcester,0,1,1
ME,Androscoggin,0,0,1
ME,Aroostook,0,0,1
ME,Cumberland,0,0,1
ME,Kennebec,1,0,0
ME,Knox,0,0,1
ME,Lincoln,0,0,1
ME,Penobscot,0,1,1
ME,Piscataquis,0,0,1
ME,Sagadahoc,0,0,1
ME,Somerset,1,0,1
ME,Washington,0,0,1
MI,Alger,0,0,1
MI,Barry,1,0,0
MI,Bay,1,0,0
MI,Berrien,1,1,1
MI,Calhoun,1,0,1
MI,Charlevoix,0,0,1
MI,Chippewa,0,0,1
MI,Clare,1,1,0
MI,Clinton,1,1,0
MI,Crawford,1,0,0
MI,Delta,0,0,1
MI,Genesee,1,1,0
MI,Huron,0,0,1
MI,Ionia,0,0,1
MI,Jackson,0,0,1
MI,Kent,1,0,0
MI,Leelanau,1,0,0
MI,Lenawee,1,1,0
MI,Livingston,0,0,1
MI,Macomb,1,1,0
MI,Manistee,0,0,1
MI,Marquette,0,0,1
MI,Menominee,0,0,1
MI,Midland,1,0,0
MI,Monroe,0,1,1
MI,Montcalm,1,0,0
MI,Montmorency,0,0,1
MI,Muskegon,1,1,0
MI,Oakland,1,1,0
MI,Ontonagon,0,0,1
MI,Ottawa,1,1,0
MI,Presque Isle,0,0,1
MI,Saginaw,1,1,1
MI,Sanilac,0,0,1
MI,Schoolcraft,0,0,1
MI,Shiawassee,1,1,0
MI,St. Clair,1,0,0
MI,St. Joseph,1,0,0
MI,Washtenaw,1,1,1
MI,Wayne,1,1,1
MI,Wexford,0,0,1
MN,Anoka,0,1,0
MN,Becker,0,0,1
MN,Blue Earth,0,0,1
MN,Brown,0,0,1
MN,Clay,1,0,0
MN,Cottonwood,0,0,1
MN,Crow Wing,1,0,0
MN,Dakota,1,1,1
MN,Freeborn,0,0,1
MN,Hennepin,0,1,1
MN,Kanabec,1,0,0
MN,Kandiyohi,0,0,1
MN,Kittson,0,0,1
MN,Lyon,0,0,1
MN,McLeod,1,0,0
MN,Morrison,0,0,1
MN,Nobles,0,0,1
MN,Olmsted,0,0,1
MN,Polk,0,0,1
MN,Rice,0,0,1
MN,Roseau,0,0,1
MN,Scott,0,0,1
MN,Sherburne,0,1,1
MN,St. Louis,0,0,1
MN,Stearns,0,0,1
MN,Steele,0,0,1
MN,Washington,0,0,1
MN,Wright,0,0,1
MO,Adair,0,0,1
MO,Andrew,0,0,1
MO,Atchison,0,0,1
MO,Audrain,0,0,1
MO,Barry,0,0,1
MO,Barton,1,0,0
MO,Bates,0,0,1
MO,Boone,1,0,1
MO,Buchanan,1,0,0
MO,Butler,0,0,1
MO,Callaway,1,0,0
MO,Camden,0,0,1
MO,Cape Girardeau,0,0,1
MO,Carroll,0,0,1
MO,Cass,0,0,1
MO,Clinton,0,0,1
MO,Cole,1,0,0
MO,Cooper,0,0,1
MO,Crawford,0,0,1
MO,Dade,0,0,1
MO,Dent,0,0,1
MO,Douglas,0,0,1
MO,Franklin,0,0,1
MO,Gasconade,0,0,1
MO,Greene,1,0,1
MO,Grundy,0,0,1
MO,Harrison,0,0,1
MO,Henry,0,0,1
MO,Howell,0,0,1
MO,Iron,0,0,1
MO,Jackson,1,1,1
MO,Jasper,0,0,1
MO,Jefferson,0,0,1
MO,Johnson,0,0,1
MO,Lawrence,0,0,1
MO,Lewis,0,0,1
MO,Livingston,0,0,1
MO,Macon,0,0,1
MO,Madison,0,0,1
MO,Maries,0,0,1
MO,Montgomery,0,0,1
MO,Morgan,0,0,1
MO,New Madrid,0,0,1
MO,Newton,0,1,0
MO,Nodaway,0,0,1
MO,Pemiscot,0,0,1
MO,Perry,0,0,1
MO,Pettis,0,1,1
MO,Phelps,0,0,1
MO,Pike,1,0,0
MO,Platte,0,0,1
MO,Pulaski,0,0,1
MO,Ralls,0,0,1
MO,Randolph,0,0,1
MO,Reynolds,0,0,1
MO,Ripley,0,0,1
MO,Saline,0,0,1
MO,Scott,0,0,1
MO,St. Francois,0,0,1
MO,St. Louis,1,1,1
MO,Stoddard,0,0,1
MO,Stone,0,0,1
MO,Vernon,0,0,1
MO,Warren,0,0,1
MO,Washington,1,0,1
MO,Wayne,0,0,1
MO,Webster,0,0,1
MO,Wright,1,0,0
MS,Adams,0,0,1
MS,Chickasaw,1,1,0
MS,DeSoto,0,0,1
MS,Grenada,0,0,1
MS,Hancock,0,0,1
MS,Harrison,1,1,1
MS,Hinds,0,0,1
MS,Holmes,0,0,1
MS,Jackson,0,0,1
MS,Jefferson,0,0,1
MS,Kemper,0,0,1
MS,Lauderdale,0,0,1
MS,Leflore,0,0,1
MS,Lowndes,0,0,1
MS,Madison,0,0,1
MS,Marshall,0,0,1
MS,Oktibbeha,1,0,0
MS,Pearl River,0,0,1
MS,Perry,0,0,1
MS,Pontotoc,1,0,0
MS,Scott,0,0,1
MS,Tippah,1,0,0
MS,Tunica,0,0,1
MS,Washington,0,0,1
MS,Winston,0,0,1
MT,Beaverhead,0,0,1
MT,Big Horn,0,0,1
MT,Cascade,0,0,1
MT,Custer,0,0,1
MT,Daniels,0,0,1
MT,Dawson,0,0,1
MT,Fallon,0,0,1
MT,Flathead,1,1,0
MT,Gallatin,0,0,1
MT,Hill,0,0,1
MT,Lake,0,0,1
MT,Lewis and Clark,0,0,1
MT,Liberty,0,0,1
MT,Lincoln,0,0,1
MT,Missoula,0,0,1
MT,Park,0,0,1
